country,gai
United States,100
China,61.5
Singapore,49.7
United Kingdom,41.8
Canada,40.3
South Korea,40.3
Israel,40
Germany,39.2
Switzerland,37.7
Finland,34.9
Netherlands,34.5
Japan,33.9
France,32.8
India,31.4
Australia,30.9
Denmark,30.5
Sweden,30.3
Luxembourg,29.2
Ireland,28.8
Spain,27.7
Austria,27.7
Belgium,26.6
Italy,26.5
Norway,26.4
Estonia,26
Taiwan,25.4
Poland,24.8
United Arab Emirates,23.9
Portugal,23.7
Russia,23.7
Saudi Arabia,23.3
Hong Kong,22.5
Malta,22.4
Brazil,22.1
Czech Republic,22.1
New Zealand,21.6
Slovenia,21.5
Hungary,20.7
Iceland,20.6
Turkey,20.6
Chile,20.2
Qatar,19.8
Lithuania,19.7
Malaysia,19.6
Greece,18.3
Indonesia,18.2
Vietnam,18
Colombia,17.8
Argentina,17.5
Slovakia,17.1
Egypt,16.9
Mexico,16.9
Uruguay,16.3
Armenia,14.5
South Africa,14.1
Tunisia,13.7
Morocco,13.6
Bahrain,13.5
Pakistan,10.1
Sri Lanka,10
Nigeria,9.3
Kenya,8.3
