alpha3,gpai,aidv,aigs,cri,di,gai,gair,gfs,libdem,odi,ttaip
AUS,Reference,9.0,9.18,0.863903026,8.96,30.9,75.29,95.0,0.814,79.0,514.7
IDN,Non-GPAI,8.0,6.63,0.462463009,6.3,18.2,60.89,58.0,0.422,25.0,108.88
MYS,Non-GPAI,6.0,5.67,0.51978007,7.19,19.6,67.37,53.0,0.304,10.0,181.32
SGP,Reference,6.5,5.15,0.53745042,6.03,49.7,84.12,47.0,0.339,60.0,242.78
THA,Non-GPAI,4.0,3.08,0.555585833,6.04,,64.63,30.0,0.179,34.0,47.53
VNM,Non-GPAI,3.5,,0.493865114,2.94,18.0,53.96,19.0,0.115,,135.78
GPAI,count,24.0,20.0,26.0,26.0,24.0,25.0,26.0,26.0,22.0,23.0
GPAI,mean,9.166666666666666,7.825000000000001,0.7166648699230771,7.706153846153845,32.15416666666667,67.03880000000001,84.23076923076923,0.6660384615384614,55.79545454545455,455.62086956521745
GPAI,std,1.2654838107863406,1.5059303821191317,0.13706152120499035,1.224052537836761,16.301133040552642,10.588997953851285,16.216800405277713,0.20183646464783925,11.270123896421577,816.3004831996222
GPAI,min,7.0,3.65,0.38136489,4.48,16.9,34.51,32.0,0.118,33.5,6.52
GPAI,25%,8.375,7.125,0.68396257275,6.9275,22.1,62.37,78.0,0.5595,49.0,63.075
GPAI,50%,9.0,8.385,0.7743530654999999,7.88,29.55,68.41,90.0,0.74,53.5,187.31
GPAI,75%,10.0,8.83,0.8110439605,8.6375,35.675,74.79,96.0,0.80225,65.0,421.05499999999995
GPAI,max,11.5,9.27,0.873075931,9.26,100.0,85.72,100.0,0.889,73.0,3638.78
