country,ttaip
Costa Rica,1.83
Latvia,2.90
Malta,3.19
Iceland,3.70
Argentina,6.52
Estonia,7.54
Peru,9.33
Luxembourg,10.50
Bulgaria,11.52
Kazakhstan,11.55
Cyprus,12.84
Chile,13.80
Lithuania,14.33
Croatia,15.84
Slovenia,16.19
Slovak Republic,16.82
Colombia,23.45
Ukraine,24.35
Hungary,26.55
Czech Republic,43.47
Romania,47.47
Thailand,47.53
Mexico,47.83
South Africa,53.21
New Zealand,54.24
Israel,62.56
Ireland,63.59
Denmark,71.57
Belgium,79.75
United Arab Emirates,82.04
Finland,89.18
Portugal,91.39
Austria,91.57
Norway,96.94
Poland,97.62
Indonesia,108.88
Sweden,124.28
Greece,133.52
Viet Nam,135.78
Egypt,147.44
Russian Federation,155.79
Malaysia,181.32
Brazil,187.31
Switzerland,209.93
Netherlands,223.70
Singapore,242.78
Spain,248.83
Saudi Arabia,262.81
Turkey,282.17
Japan,316.11
France,332.90
Italy,509.21
Australia,514.70
Canada,526.32
Korea,554.75
Germany,711.32
United Kingdom,850.36
India,1984.65
United States,3638.78
China,5324.86
