Label,Score,Country
control,0.42169984387233855,australia
development,0.45884167385753244,australia
promotion,0.18909015116010172,australia
control,0.5401619705525074,gpai
development,0.4710358411155559,gpai
promotion,0.3122814617703085,gpai
control,0.23618351396322793,indonesia
development,0.4697951549759273,indonesia
promotion,0.12760043127699255,indonesia
control,0.43955733202116076,malaysia
development,0.501218466487314,malaysia
promotion,0.37522281837422683,malaysia
control,0.4796935064875664,singapore
development,0.5000928414855801,singapore
promotion,0.32088551168279045,singapore
control,0.11899498520868,thailand
development,0.5773089558367688,thailand
promotion,0.456934653836739,thailand
control,0.42202850930392743,vietnam
development,0.627543905377388,vietnam
promotion,0.6682146714255214,vietnam
